,owner_id,Time,Z,Act,State,Sequence,Keyword,Message_1,STT_1,Message_2,STT_2,Message_3,STT_3
0,1018,'2021-08-01 00:08:10,부동,취침,수면,,,,,,,,
1,1018,'2021-08-01 05:52:18,리모콘,"기상, TV시청",기상하기,,,,,,,,
2,1018,'2021-08-01 05:52:18,리모콘,"기상, TV시청",뉴스 시청,,,,,,,,
3,1018,'2021-08-01 06:55:05,냉장고,음식출납,음식 꺼내기,,,,,,,,
4,1018,'2021-08-01 06:59:42,창문,환기,집 환기하기,,,,,,,,
5,1018,'2021-08-01 07:28:10,부동,휴식,취미활동,,,,,,,,
6,1018,'2021-08-01 07:48:09,부동,취침,수면,,,,,,,,
7,1018,'2021-08-01 07:49:15,싱크대,"기상, 주방정리",기상하기,,,,,,,,
8,1018,'2021-08-01 07:49:15,싱크대,"기상, 주방정리",주방 정리하기,,,,,,,,
9,1018,'2021-08-01 08:02:17,창문,환기,집 환기하기,,,,,,,,
10,1018,'2021-08-01 08:28:01,리모콘,TV시청,TV 보기,,,,,,,,
11,1018,'2021-08-01 09:11:26,창문,환기,집 환기하기,,,,,,,,
12,1018,'2021-08-01 09:38:09,부동,휴식,취미활동,,,,,,,,
13,1018,'2021-08-01 09:58:09,미동,취침,수면,,,,,,,,
14,1018,'2021-08-01 10:08:10,부동,낮잠,낮잠자기,,,,,,,,
15,1018,'2021-08-01 12:17:08,창문,"낮잠기상, 환기",낮잠 기상하기,,,,,,,,
16,1018,'2021-08-01 12:17:08,창문,"낮잠기상, 환기",집 환기하기,,,,,,,,
17,1018,'2021-08-01 12:38:08,부동,휴식,취미활동,,,,,,,,
18,1018,'2021-08-01 12:53:10,창문,환기,집 환기하기,,,,,,,,
19,1018,'2021-08-01 12:59:19,리모콘,TV시청,TV 보기,,,,,,,,
20,1018,'2021-08-01 14:28:10,부동,낮잠,낮잠자기,,,,,,,,
21,1018,'2021-08-01 14:43:47,리모콘,"낮잠기상, TV시청",낮잠 기상하기,,,,,,,,
22,1018,'2021-08-01 14:43:47,리모콘,"낮잠기상, TV시청",TV 보기,,,,,,,,
23,1018,'2021-08-01 14:49:44,창문,환기,집 환기하기,,,,,,,,
24,1018,'2021-08-01 14:51:53,리모콘,TV시청,TV 보기,,,,,,,,
25,1018,'2021-08-01 14:58:52,창문,환기,집 환기하기,,,,,,,,
26,1018,'2021-08-01 15:07:42,리모콘,TV시청,TV 보기,,,,,,,,
27,1018,'2021-08-01 16:38:08,부동,낮잠,낮잠자기,,,,,,,,
28,1018,'2021-08-01 18:42:01,리모콘,"낮잠기상, TV시청",낮잠 기상하기,,,,,,,,
29,1018,'2021-08-01 18:42:01,리모콘,"낮잠기상, TV시청",TV 보기,,,,,,,,
30,1018,'2021-08-01 19:30:45,창문,환기,집 환기하기,,,,,,,,
31,1018,'2021-08-01 19:42:39,리모콘,TV시청,TV 보기,,,,,,,,
32,1018,'2021-08-01 20:24:56,창문,환기,집 환기하기,,,,,,,,
33,1018,'2021-08-01 20:26:14,리모콘,TV시청,TV 보기,,,,,,,,
34,1018,'2021-08-01 21:38:10,부동,취침,수면,,,,,,,,
35,1018,'2021-08-01 22:30:10,창문,"기상, 환기",기상하기,,,,,,,,
36,1018,'2021-08-01 22:30:10,창문,"기상, 환기",날씨 확인하기,,,,,,,,
37,1018,'2021-08-01 22:35:08,리모콘,TV시청,TV 보기,,,,,,,,
38,1018,'2021-08-01 23:48:10,부동,취침,수면,,,,,,,,
39,1018,'2021-08-01 23:48:25,창문,"기상, 환기",기상하기,,,,,,,,
40,1018,'2021-08-01 23:48:25,창문,"기상, 환기",날씨 확인하기,,,,,,,,
41,1018,'2021-08-02 00:18:10,부동,휴식,취미활동,,,,,,,,
42,1018,'2021-08-02 00:38:11,부동,취침,수면,,,,,,,,
43,1018,'2021-08-02 08:00:17,창문,"기상, 환기",기상하기,,,,,,,,
44,1018,'2021-08-02 08:00:17,창문,"기상, 환기",날씨 확인하기,,,,,,,,
45,1018,'2021-08-02 08:29:16,리모콘,TV시청,TV 보기,,,,,,,,
46,1018,'2021-08-02 09:48:10,부동,취침,수면,,,,,,,,
47,1018,'2021-08-02 09:58:04,창문,"기상, 환기",기상하기,,,,,,,,
48,1018,'2021-08-02 09:58:04,창문,"기상, 환기",날씨 확인하기,,,,,,,,
49,1018,'2021-08-02 10:18:09,미동,휴식,취미활동,,,,,,,,
50,1018,'2021-08-02 10:38:09,부동,낮잠,낮잠자기,,,,,,,,
51,1018,'2021-08-02 10:53:16,리모콘,"낮잠기상, TV시청",낮잠 기상하기,,,,,,,,
52,1018,'2021-08-02 10:53:16,리모콘,"낮잠기상, TV시청",TV 보기,,,,,,,,
53,1018,'2021-08-02 12:03:27,창문,환기,집 환기하기,,,,,,,,
54,1018,'2021-08-02 12:28:10,부동,휴식,취미활동,,,,,,,,
55,1018,'2021-08-02 12:36:12,창문,환기,집 환기하기,,,,,,,,
56,1018,'2021-08-02 12:39:49,리모콘,TV시청,TV 보기,,,,,,,,
57,1018,'2021-08-02 12:44:36,창문,환기,집 환기하기,,,,,,,,
58,1018,'2021-08-02 13:08:11,부동,휴식,취미활동,,,,,,,,
59,1018,'2021-08-02 13:28:10,부동,낮잠,낮잠자기,,,,,,,,
60,1018,'2021-08-02 15:16:35,창문,"낮잠기상, 환기",낮잠 기상하기,,,,,,,,
61,1018,'2021-08-02 15:16:35,창문,"낮잠기상, 환기",집 환기하기,,,,,,,,
62,1018,'2021-08-02 15:17:33,리모콘,TV시청,TV 보기,,,,,,,,
63,1018,'2021-08-02 17:38:10,부동,낮잠,낮잠자기,,,,,,,,
64,1018,'2021-08-02 18:05:47,창문,"낮잠기상, 환기",낮잠 기상하기,,,,,,,,
65,1018,'2021-08-02 18:05:47,창문,"낮잠기상, 환기",집 환기하기,,,,,,,,
66,1018,'2021-08-02 18:28:10,부동,휴식,취미활동,,,,,,,,
67,1018,'2021-08-02 18:48:10,부동,낮잠,낮잠자기,,,,,,,,
68,1018,'2021-08-02 18:57:12,창문,"낮잠기상, 환기",낮잠 기상하기,,,,,,,,
69,1018,'2021-08-02 18:57:12,창문,"낮잠기상, 환기",집 환기하기,,,,,,,,
70,1018,'2021-08-02 18:57:21,리모콘,TV시청,TV 보기,,,,,,,,
71,1018,'2021-08-02 18:58:35,창문,환기,집 환기하기,,,,,,,,
72,1018,'2021-08-02 19:02:11,리모콘,TV시청,TV 보기,,,,,,,,
73,1018,'2021-08-02 19:49:27,창문,환기,집 환기하기,,,,,,,,
74,1018,'2021-08-02 19:49:35,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
75,1018,'2021-08-02 19:59:35,식사 판단,저녁식사,석식,,,,,,,,
76,1018,'2021-08-02 20:00:24,리모콘,식사중TV,식사 중 TV 시청,,,,,,,,
77,1018,'2021-08-02 20:51:24,리모콘,TV시청,TV 보기,,,,,,,,
78,1018,'2021-08-02 21:35:48,전자렌지,음식데우기,간편식 준비하기,,,,,,,,
79,1018,'2021-08-02 21:40:12,리모콘,TV시청,TV 보기,,,,,,,,
80,1018,'2021-08-02 21:45:48,식사 판단,간식,간식 먹기,,,,,,,,
81,1018,'2021-08-02 22:08:10,부동,휴식,취미활동,,,,,,,,
82,1018,'2021-08-02 22:16:53,리모콘,TV시청,TV 보기,,,,,,,,
83,1018,'2021-08-02 23:58:10,미동,취침,수면,,,,,,,,
84,1018,'2021-08-03 00:10:58,창문,"기상, 환기",기상하기,,,,,,,,
85,1018,'2021-08-03 00:10:58,창문,"기상, 환기",날씨 확인하기,,,,,,,,
86,1018,'2021-08-03 00:38:10,부동,휴식,취미활동,,,,,,,,
87,1018,'2021-08-03 00:58:10,부동,취침,수면,,,,,,,,
88,1018,'2021-08-03 08:41:23,리모콘,"기상, TV시청",기상하기,,,,,,,,
89,1018,'2021-08-03 08:41:23,리모콘,"기상, TV시청",뉴스 시청,,,,,,,,
90,1018,'2021-08-03 09:58:09,부동,취침,수면,,,,,,,,
91,1018,'2021-08-03 10:08:10,부동,낮잠,낮잠자기,,,,,,,,
92,1018,'2021-08-03 10:58:14,전자렌지,"낮잠기상, 음식데우기",낮잠 기상하기,,,,,,,,
93,1018,'2021-08-03 10:58:14,전자렌지,"낮잠기상, 음식데우기",간편식 준비하기,,,,,,,,
94,1018,'2021-08-03 11:08:14,식사 판단,간식,간식 먹기,,,,,,,,
95,1018,'2021-08-03 11:38:10,부동,휴식,취미활동,,,,,,,,
96,1018,'2021-08-03 11:58:10,부동,낮잠,낮잠자기,,,,,,,,
97,1018,'2021-08-03 19:03:38,창문,"낮잠기상, 환기",낮잠 기상하기,,,,,,,,
98,1018,'2021-08-03 19:03:38,창문,"낮잠기상, 환기",집 환기하기,,,,,,,,
99,1018,'2021-08-03 19:03:46,리모콘,TV시청,TV 보기,,,,,,,,
100,1018,'2021-08-03 19:56:53,창문,환기,집 환기하기,,,,,,,,
101,1018,'2021-08-03 19:59:21,리모콘,TV시청,TV 보기,,,,,,,,
102,1018,'2021-08-03 21:18:11,부동,취침,수면,,,,,,,,
103,1018,'2021-08-03 21:56:22,리모콘,"기상, TV시청",기상하기,,,,,,,,
